No,Site_name,Cover_type,Latitude,Longitude,Elevation,used,LAI,MOD_LAI,LAI_ratio,MAT,MAP,Year_start,Year_end,Year,CO2,PAR_in,PAR_out,SWC,Tower_h,Canopy_h,TAXNWRB,TAXOUSDA,MOD_LUCC,CP,INST,Tower_hnew,Canopy_hnew,CP_new,INST_new
1,AR-SLu,MF,-33.4648,-66.4598,,FALSE,NaN,1.109716339,NaN,,400,2009,2011,3,1,1,0,1,11,7,17,96,OSH,0,GA_OP-LI-COR LI-7500,12,9,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
2,AT-Neu,GRA,47.1167,11.3175,970,FALSE,6.5,2.098683292,NaN,6.3,852,2002,2012,11,1,1,1,1,3,0.991636104,27,90,MF,1,GA_OP-LI-COR LI-6262,2.666666667,0.172394958,1,GA_CP-LI-COR LI-6262;SA-Gill R3A-100
3,AU-ASM,ENF,-22.283,133.249,,FALSE,0.47,0.467536385,NaN,,,2010,2013,4,1,0,0,1,11.6,6.5,27,32,OSH,0,GA_OP-LI-COR LI-7500,11.67,6.5,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
4,AU-Cpr,SAV,-34.0021,140.5891,,FALSE,0.782,0.508126473,NaN,,,2010,2014,5,1,0,0,1,20,4,17,32,OSH,0,GA_OP-LI-COR LI-7500,20,2.7,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
5,AU-DaP,GRA,-14.0633,131.3181,,FALSE,NaN,1.933702537,NaN,,,2007,2013,7,1,0,0,1,15,0.3,1,32,SAV,0,GA_OP-LI-COR LI-7500,2.5,1,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
6,AU-DaS,SAV,-14.1593,131.3881,,TRUE,1.8768,1.773366853,1.05832586,,,2008,2014,7,1,0,0,1,21,16.4,44,32,SAV,0,GA_OP-LI-COR LI-7500,21,16.4,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
7,AU-Dry,SAV,-15.2588,132.3706,,TRUE,1.66,1.571109976,1.05657785,,,2008,2014,7,1,0,0,1,15,12.14193845,17,32,SAV,0,GA_OP-LI-COR LI-7500,15,12.3,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
8,AU-Emr,GRA,-23.8587,148.4746,,FALSE,NaN,0.859200559,NaN,,,2011,2013,3,1,0,0,1,6.7,0.375885923,116,32,OSH,0,GA_OP-LI-COR LI-7500,6.7,0.6,0,GA_OP-LI-COR LI-7500A;SA-Campbell CSAT-3
9,AU-Gin,WSA,-31.3764,115.7138,,TRUE,1.4076,1.152733544,1.221097458,,,2011,2014,4,1,0,0,1,15,6.303489641,17,34,WSA,0,GA_OP-LI-COR LI-7500,15,6.8,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
10,AU-How,WSA,-12.4943,131.1523,,TRUE,2.4,2.05163912,1.169796372,,,2001,2014,14,1,0,0,1,23,18.57017686,44,62,WSA,0,GA_OP-LI-COR LI-7500,23,16,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
11,AU-Rig,GRA,-36.6499,145.5759,,FALSE,NaN,2.811316574,NaN,,,2011,2014,4,1,0,0,1,2.5,0.203175166,79,32,CRO,0,GA_OP-LI-COR LI-7500,2.5,0.4,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
12,AU-Stp,GRA,-17.1507,133.3502,,TRUE,NaN,1.035553759,1.466563819,,,2008,2014,7,1,0,0,1,4.8,0.677208076,108,32,GRA,0,GA_OP-LI-COR LI-7500,5,1,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
13,AU-Tum,EBF,-35.6566,148.1517,1200,TRUE,NaN,5.044261866,1.171933415,,,2001,2014,14,1,0,0,1,70,40,27,32,EBF,0,GA_OP-LI-COR LI-7500,70,40.41428571,0,GA_OP-LI-COR LI-7500;SA-Gill HS-50
14,AU-Wac,EBF,-37.4259,145.1878,,TRUE,5.01,4.274986902,1.171933415,,,2005,2008,4,1,0,0,1,95,80,27,32,EBF,0,GA_OP-LI-COR LI-7500,95,80,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
15,AU-Whr,EBF,-36.6732,145.0294,,FALSE,1.4076,1.136818598,NaN,,,2011,2014,4,1,0,0,1,32,24.38566708,73,32,WSA,0,GA_OP-LI-COR LI-7500,36,28,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
16,AU-Wom,EBF,-37.4222,144.0944,705,TRUE,6.4124,3.640026551,1.761635502,,,2010,2012,3,1,0,0,1,30,25,27,32,EBF,0,GA_OP-LI-COR LI-7500,30,22,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
17,AU-Ync,GRA,-34.9893,146.2907,,FALSE,NaN,1.453809314,NaN,,,2012,2014,3,1,0,0,1,8,0.393492568,116,31,CRO,0,GA_OP-LI-COR LI-7500,20,0.5,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
18,BE-Lon,CRO,50.5516,4.7461,167,TRUE,NaN,2.039776142,0.692571742,10,800,2004,2014,11,1,1,0,1,2.7,0.612183371,27,84,CRO,1,GA_OP-LI-COR LI-7200,3.20625,0.467641975,1,GA_CP-LI-COR LI-7000;SA-Gill R3-50
19,BE-Vie,MF,50.3051,5.9981,493,TRUE,5.1,3.221751527,1.58298986,7.8,1062,1996,2014,19,1,1,0,1,40,27.91152618,27,89,MF,1,GA_OP-LI-COR LI-7200,44.7,33.57368421,1,GA_CP-LI-COR LI-6262;SA-Gill R2
20,BR-Sa3,EBF,-3.018,-54.9714,100,TRUE,5.21,5.580083614,0.933677765,26.12,2044,2000,2004,5,1,1,1,1,64,37.5,44,34,EBF,1,Li-Cor 7500 and a closed-path Li-Cor 6262 or 7000;,64,27.5,1,GA_CP-LI-COR LI-7000;SA-Campbell CSAT-3
21,CA-Qfo,ENF,49.6925,-74.3421,382,TRUE,3.7,2.05319484,1.802069598,-0.36,962,2003,2010,8,1,1,1,1,24,13.8,98,18,ENF,1,Li-Cor 7000;,24,13.8,1,GA_CP-LI-COR LI-7000;SA-Campbell CSAT-3
22,CA-SF1,ENF,54.485,-105.8176,536,TRUE,3.4,2.877443825,1.181604301,0.4,470,2003,2006,4,1,1,1,1,12,6,78,89,ENF,0,GA_OP-LI-COR LI-7500,12.1,6,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
23,CA-SF2,ENF,54.2539,-105.8775,520,FALSE,3,3.097500226,NaN,0.4,470,2001,2005,5,1,1,1,1,10,4,76,89,MF,0,GA_OP-LI-COR LI-7500,9.144,4,0,GA_OP-LI-COR LI-7500;SA-Campbell CSAT-3
24,CH-Cha,GRA,47.2102,8.4104,393,FALSE,NaN,2.837492888,NaN,9.5,1136,2005,2014,10,1,1,0,1,2.41,0.5970471,27,84,CRO,0,GA_OP-LI-COR LI-7500,2.41,0.5,0,GA_OP-LI-COR LI-7500;SA-Gill R3-50
25,CH-Dav,ENF,46.8153,9.8559,1639,TRUE,5.5,2.208255344,2.490653997,2.8,1062,1997,2014,18,1,1,0,1,35,19.76526104,98,18,ENF,1,1997-2005:LI-6262,35,25,1,GA_CP-LI-COR LI-6262;SA-Gill R2
26,CH-Fru,GRA,47.1158,8.5378,982,FALSE,NaN,3.207276583,NaN,7.2,1651,2005,2014,10,1,1,0,1,2.55,0.823220421,27,18,MF,0,GA_OP-LI-COR LI-7500,2.5,0.4,0,GA_OP-LI-COR LI-7500;SA-Gill R3-50
